group,basepath,lfp,sleep_states,tracking_dlc,tracking_animalBehavior,tracking_restrictxy,sorting_Kilosort,sorting_phyRez,tracking_sessionBehavioralTracking,cell_metrics,ripples,anatomical_map,behavior_scoring
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day04_220309_085753,1,1,1,0,1,1,1,1,1,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day05_220310_113927,1,1,1,1,1,1,1,1,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day06_220311_134342,1,1,1,1,1,1,1,1,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day07_220313_140520,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day08_220314_093036,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day09_220315_101140,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day10_220316_095114,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day11_220317_090555,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day12_220318_130744,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day13_220319_101549,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day14_220320_102335,1,1,1,1,1,1,1,1,1,1,1,1
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day15_220321_124146,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day16_220322_095924,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day17_220324_085048,1,1,1,1,1,1,1,1,1,1,1,1
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day18_220325_094521,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day19_220326_134737,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day20_220328_094147,1,1,1,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day21_220329_101843,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day22_220330_102036,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day23_220401_102719,1,1,1,1,1,1,1,1,1,1,1,1
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day24_220402_114358,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day25_220403_125728,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day26_220404_121037,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day27_220405_103420,1,1,1,1,1,1,1,1,1,1,1,1
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day28_220406_101032,1,1,0,0,0,0,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day29_220407_124118,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day00_220423_101033,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day01_220424_122746,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day02_220425_100010,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day03_220426_104417,1,1,1,1,1,0,0,1,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day04_220427_102034,1,1,1,1,1,1,1,1,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day06_220429_081606,1,1,1,0,0,1,1,0,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day07_220430_091926,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day08_220501_094841,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day09_220502_101004,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day10_220503_082347,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day11_220504_080057,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day12_220505_054652,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day13_220507_111833,1,1,1,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day14_220508_104051,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day15_220510_103311,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day16_220511_100658,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day17_220512_084716,1,1,1,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day18_220513_095958,1,1,1,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day19_220514_144542,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day20_220515_150105,1,1,0,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day21_220516_130204,1,1,1,1,1,0,0,1,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day22_220517_125646,1,1,1,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day23_220518_101128,1,1,1,0,0,0,0,0,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day24_220520_100539,1,1,0,0,0,0,0,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day25_220524_093304,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day26_220525_115604,1,1,0,0,0,1,1,0,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day27_220526_092204,1,1,1,1,1,0,0,1,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day28_220527_112747,0,0,1,0,0,0,0,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day29_220528_1105,1,1,1,1,1,1,1,1,1,1,1,1
